OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
404,48,201,400000,2725,12,2725,389,2336,2326,924,830,13,476,0,83,10,2706,386,2320,2310,918,820,13,476,0,83,10,12,11,1,14332331.24,15077.44433
405,48,201,400000,2058,1192,2058,403,1655,1644,45,1589,0,9,0,1,11,1537,237,1300,1293,40,1243,0,9,0,1,7,1192,812,380,11697938.18,13953.40187
406,48,201,400000,1962,1142,1962,384,1578,1568,134,1382,0,49,1,2,10,1553,255,1298,1291,128,1114,0,46,1,2,7,1142,845,297,15191937.54,15510.18185
407,48,201,400000,2208,1351,2208,282,1926,1913,82,1803,0,27,0,1,13,1698,180,1518,1508,80,1402,0,25,0,1,10,1351,954,397,11652757.68,18465.12093
408,48,201,400000,4235,1818,4235,754,3481,3410,1694,1393,10,302,0,11,71,3864,627,3237,3185,1624,1261,10,282,0,8,52,1818,1622,196,19271830.54,19686.90417
409,48,201,400000,5871,4287,5871,996,4875,4749,2629,1548,12,544,2,14,126,5163,772,4391,4295,2450,1331,11,496,2,5,96,4287,3031,1256,23300812.06,22964.83859
410,48,201,400000,1955,1209,1955,136,1819,1787,77,1684,2,19,0,5,32,1596,99,1497,1477,73,1378,2,19,0,5,20,1209,920,289,8677611.87,12360.38164
411,48,201,400000,2332,728,2332,146,2186,2167,21,2140,3,1,2,0,19,1794,78,1716,1697,18,1673,3,1,2,0,19,728,655,73,10060480,13173.84259
412,48,201,400000,3941,2102,3941,169,3772,3726,134,3537,10,35,0,10,46,3349,119,3230,3192,124,3015,9,34,0,10,38,2102,1683,419,15503386.06,16217.17479
413,48,201,400000,2349,1461,2349,161,2188,2135,164,1928,3,31,0,9,53,1910,121,1789,1763,157,1570,3,30,0,3,26,1461,1118,343,11887720.88,14288.72963
414,48,201,400000,3356,1896,3356,391,2965,2903,1845,566,4,474,4,10,62,3110,350,2760,2712,1753,518,4,423,4,10,48,1896,1556,340,42820200.99,31867.59569
415,48,201,400000,3798,2071,3798,387,3411,3361,228,3059,13,56,1,4,50,3029,254,2775,2734,207,2469,8,48,1,1,41,2071,1632,439,33295430.94,31808.64474
416,48,201,400000,2654,1161,2654,361,2293,2278,75,2196,3,2,0,2,15,2028,226,1802,1791,62,1723,3,2,0,1,11,1161,1021,140,24621718.59,21879.70327
417,48,201,400000,2935,1439,2935,700,2235,2213,54,2135,8,13,0,3,22,2203,420,1783,1766,45,1701,7,12,0,1,17,1439,1134,305,19995505.77,22818.31147
418,48,201,400000,2501,1026,2501,490,2011,1993,26,1959,1,5,0,2,18,1802,298,1504,1489,23,1459,1,5,0,1,15,1026,856,170,17514932.2,17641.39105
419,48,201,400000,4831,1867,4831,1236,3595,3556,74,3448,9,22,0,3,39,3378,787,2591,2576,68,2484,6,18,0,0,15,1867,1627,240,24924368.85,23118.68203
420,48,201,400000,2457,1023,2457,192,2265,2244,32,2200,2,8,0,2,21,1913,127,1786,1776,31,1734,2,7,0,2,10,1023,929,94,14241808.2,17265.4121
421,48,201,400000,4774,2034,4774,467,4307,4270,39,4180,11,22,7,11,37,3102,270,2832,2811,33,2736,8,19,7,8,21,2034,1772,262,23713386.96,20925.97112
422,48,201,400000,4495,2884,4495,534,3961,3838,1452,1453,7,913,2,11,123,3968,440,3528,3430,1340,1235,7,837,2,9,98,2884,2468,416,29856488.08,24727.04139
423,48,201,400000,2759,1828,2759,267,2492,2387,934,517,9,922,0,5,105,2517,246,2271,2182,885,453,8,832,0,4,89,1828,1606,222,15248063.66,22760.94459
424,48,201,400000,7544,4370,7544,763,6781,6664,1848,1528,3,3252,8,25,117,6885,698,6187,6084,1745,1339,1,2967,8,24,103,4370,3925,445,19889857.59,19991.05526
425,48,201,400000,3962,2476,3962,392,3570,3528,200,3168,10,146,1,3,42,3115,289,2826,2798,184,2474,10,127,1,2,28,2476,2093,383,16344033.24,18462.83762
426,48,201,400000,3093,2327,3093,333,2760,2667,1139,229,0,1288,2,9,93,2696,292,2404,2335,1063,213,0,1053,2,4,69,2327,1791,536,25768964.01,23131.20172
427,48,201,400000,2876,1068,2876,2525,351,339,166,116,5,52,0,0,12,1954,1670,284,274,141,91,4,38,0,0,10,1068,908,160,10588636.78,15709.77079
