City,Tract,Population,Male,Female,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,Less_than_18_years,18_to_64_years,65_years_and_over,Married_Couple,Male_Head,Female_Head,Non_Family,High_School_Graduate,Bachelor_Degree_or_Higher,Own,Rent,Median_Household_Income,Persons_Below_Poverty_Level_Income,Drove_Alone,Carpooled,Public_Transportation,Work_at_Home,Mean_Travel_Time_(minutes),No_Vehicle,1_Vehicle,2_Vehicles,3+_Vehicles,White,Black,Hispanic,American_Indian,Asian,Pacific_Islander,Other,More_than_one_race,English_Only,Other_than_English,Speak_English_less_than_very_well,Spanish_-_Speak_English_less_than_very_well,With_a_Disability,Under_18_w/Disability,18_to_64_w/Disability,65_and_over_w/Disability,Location_1
Boulder,30,1848,44.90%,55.10%,0%,0%,0%,0%,0.60%,0%,0.90%,6%,5.10%,14.20%,31.50%,27.70%,13.80%,0%,26.90%,73.10%,49.60%,1.20%,4.30%,44.90%,91.70%,31.20%,78.70%,21.30%,"$42,466.00 ",2.50%,94.20%,2.10%,0%,3.80%,23.3,4.10%,60.90%,34%,1%,88.70%,5.60%,1.30%,0.60%,3.60%,0.30%,0%,0%,92%,8%,1.50%,0.90%,32.70%,0%,13.30%,40%,"(36.207117400000001, -115.2880467)"
Boulder,30,4289,47.40%,52.60%,7.70%,6.30%,4.40%,5.90%,4.60%,13.10%,12.20%,14.60%,8.90%,7.60%,8.50%,5.20%,1%,23.40%,61.80%,14.80%,50.10%,6.30%,11.60%,32%,92.10%,25.50%,66.70%,33.30%,"$63,711.00 ",12.50%,88.20%,7.90%,1.10%,2.20%,22.7,3.40%,34.50%,43.50%,18.50%,62.60%,10.10%,16.20%,0%,5.50%,0%,0%,5.60%,78.30%,21.70%,5.80%,1.90%,12.80%,4%,9.10%,42%,"(36.200510700000002, -115.27079740000001)"
Boulder,30,5699,49.80%,50.20%,4%,6.50%,7.50%,8.50%,3.20%,5.80%,18%,16.80%,8.70%,7.60%,8.50%,3.90%,1%,23.80%,62.80%,13.40%,63.60%,2.70%,15.20%,18.50%,96.50%,50.60%,81.40%,18.60%,"$111,667.00 ",1.50%,82.40%,6.70%,1.60%,8.70%,24.5,1.60%,27.50%,42.30%,28.50%,72.70%,4.60%,9.50%,0%,9.60%,0%,0%,3.60%,77.40%,22.60%,7%,2%,10.10%,5%,8.80%,25.80%,"(36.1921739, -115.294268)"
Boulder,30,6473,44.80%,55.20%,5%,4.70%,6.10%,5.70%,6.40%,15%,13.10%,11.60%,5.90%,7.50%,10.40%,4.90%,3.70%,19.80%,61.20%,19%,63.60%,2.70%,15.20%,18.50%,93.40%,27.20%,56.40%,43.60%,"$62,983.00 ",6.80%,82.20%,7.70%,1.80%,4.60%,23.5,8.80%,35.70%,42.30%,13.10%,54.70%,12.70%,21.40%,0%,6%,0.20%,0.40%,4.60%,76.20%,23.80%,10%,5%,11.50%,3.10%,6.30%,36.80%,"(36.192970000000003, -115.2740979)"
Boulder,30,6717,49.30%,50.70%,7.60%,7.40%,7.40%,6.70%,9.20%,16.90%,13.90%,15.70%,5.50%,1.40%,4.40%,3.20%,0.90%,25.60%,66%,8.40%,41.20%,7.30%,15.80%,35.60%,86.70%,18.90%,44.60%,55.40%,"$41,616.00 ",17.20%,88.40%,8.30%,2.30%,0.60%,22.3,10.70%,49.90%,23.70%,15.80%,48%,10.30%,34.80%,0%,4.20%,0%,0%,2.70%,68.40%,31.60%,9.50%,9%,12.40%,3.10%,11.70%,47%,"(36.183229099999998, -115.27384979999999)"
Boulder,30,4956,43.90%,56.10%,5.80%,9.40%,3.90%,5%,3.10%,13%,18.40%,13.20%,7.90%,6.90%,9.10%,3.50%,0.80%,22.10%,64.40%,13.50%,47.80%,2.80%,16%,33.50%,93.80%,37.70%,63.10%,36.90%,"$66,234.00 ",5%,83.60%,7.80%,0.90%,3.70%,26.1,4.60%,39%,42.80%,13.60%,60.20%,10.20%,11.10%,0%,16.10%,0.40%,0.40%,1.60%,74.60%,25.40%,8.70%,1.60%,12.30%,7.90%,10.30%,28.90%,"(36.1847238, -115.31895609999999)"
Boulder,30,3461,54%,46%,5.30%,5.80%,7.10%,6.70%,2.20%,10.10%,17.80%,16.10%,7.90%,7.50%,10.40%,2.80%,0.30%,24.50%,62%,13.50%,52.40%,2.30%,8.30%,37.10%,94.60%,50.10%,71.80%,28.20%,"$86,525.00 ",9.20%,81.20%,10.40%,1.50%,4.80%,21.4,0.90%,39.90%,43.10%,16.10%,74.80%,5.30%,6.20%,0.30%,12.60%,0.90%,0%,0%,82.20%,17.80%,7%,1.50%,2.10%,1.70%,1.20%,7.30%,"(36.1749881, -115.3054109)"
Boulder,30,2672,46.80%,53.20%,7.20%,4.70%,6.60%,4.70%,3.50%,8.30%,11.50%,22.70%,6%,4.80%,13.80%,4%,2.10%,21.10%,59%,19.90%,57.20%,2.10%,1.70%,39%,95.40%,54.60%,76%,24%,"$91,094.00 ",4.20%,80.40%,12.70%,1.90%,3.30%,20.5,4.30%,26.50%,46.30%,23%,73%,0%,7.90%,0.30%,13.30%,0%,0%,5.50%,75.20%,24.80%,7.20%,1.30%,5.50%,3.70%,3.50%,13.40%,"(36.164319300000002, -115.3028937)"
Boulder,30,3916,51.60%,48.40%,2.10%,5.30%,5.50%,5.80%,4%,12.50%,16.50%,18.30%,10.90%,7.60%,9%,1.90%,0.50%,18.10%,70.50%,11.40%,40%,8.90%,6.80%,44.30%,97.40%,46.30%,48.10%,51.90%,"$78,571.00 ",8.70%,84.80%,5.50%,0.80%,4.30%,19.1,3.20%,43.30%,42.60%,10.90%,73.80%,8.80%,6%,0%,8.40%,0%,0%,3.10%,79.80%,20.20%,5.60%,0.60%,5.50%,0%,4%,26.10%,"(36.163676899999999, -115.3265865)"
Boulder,30,4225,49.60%,50.40%,8.40%,6.80%,9%,2.80%,10.80%,23.90%,15.50%,13%,2.50%,2.90%,3.30%,1.10%,0%,25.70%,69.80%,4.50%,45%,7.10%,8.10%,39.80%,88%,28.20%,54.70%,45.30%,"$59,178.00 ",21.10%,88.50%,8.20%,1.40%,2%,27.4,0.50%,47.50%,42.10%,9.80%,62.30%,12.80%,16.70%,0%,5.90%,0%,0.10%,2.10%,80.10%,19.90%,6.50%,5.30%,5.30%,1.50%,6.80%,5.10%,"(36.300515699999998, -115.2948597)"
